"TID","EN","AR","CN","CNT","DE","ES-419","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI","UK"
"TID_BEAMER_SHORT_DESC","Hold your ground for huge range.","اثبت في موقعك لتحصل على مدى واسع.","待在原地不动，可发动超远距离攻击。","站在原地，發動超遠距離攻擊。","Weiche nicht von der Stelle für riesige Reichweite.","Mantén la posición para aumentar el alcance.","Mantén la posición para aumentar el alcance del ataque.","Pysy lujana saadaksesi pitkän kantaman.","Attaques immobiles, mais à une portée incroyable.","החזיקו מעמד לטווח ארוך.","Pertahankan posisimu untuk jangkauan maksimal.","Rimani immobile per aumentare la portata.","持ち場をキープして超長射程を活かそう。","자리를 지켜 초장거리에서 공격하세요.","Kekalkan kedudukan anda untuk meningkatkan jangkauan.","Blijf standvastig voor een enorm bereik.","Nie ustępuj pola, by mieć duży zasięg.","Não se mova para atacar além do alcance.","Увеличивает дальность атаки, стоя на месте.","ยืนให้มั่นเพื่อยิงระยะไกล","Yerinde durduğunda menzili devasa olur.","Giữ vững vị trí để tăng phạm vi thật xa.","Утримуй позицію завдяки великій дальності."
"TID_BEAMER_DESC","Mandy runs a candy store where she dresses in costume and doles out sweet treats. She's a little too into the act and rules her candy kingdom with an iron fist.","تدير ماندي متجرًا للحلوى حيث ترتدي زيًا خاصًا وتوزع الحلوى. وهي منخرطة قليلاً في هذا الفعل وتحكم مملكة الحلوى بقبضة من حديد.","曼迪开了一家糖果店，她会穿着特别设计的衣服，在店里给大家分发好吃的糖果。她有点太入戏了，试图用强硬的手段统治她的糖果王国。","曼蒂開了一家糖果店，她會穿著特別的裝扮，分發好吃的糖果給大家。她有點太入戲了，以為自己是一個用鐵腕政策統治糖果王國的統治者。","Mandy betreibt einen Süßwarenladen, kostümiert sich dafür und teilt Süßes aus. Sie ist etwas zu sehr in ihrer eigenen Welt gefangen und regiert ihr Süßigkeiten-Königreich mit eiserner Faust.","Mandy es la encargada de la tienda de golosinas, o del reino de las golosinas, como a ella le gusta llamarle. En su refinado atuendo de reina, Mandy reparte caramelos a sus plebeyos y gobierna con puño de acero.","En su tienda de caramelos, Mandy reparte golosinas vestida con un disfraz digno de la princesa de un dulce reino. A veces el papel se le sube a la cabeza y reina sobre sus dominios con puño de hierro.","Mandy pyörittää karkkikauppaa, missä hän pukeutuu kuningattareksi ja jakaa makeisia. Valta on kuitenkin päässyt nousemaan hänen päähänsä, ja karkkivaltakunnassa vallitsee kova kuri.","Mandy tient une boutique de bonbons où, costumée, elle distribue des sucreries. Elle se prend un peu trop au sérieux et dirige son petit empire d'une main de fer.","מנדי מנהלת חנות ממתקים לבושה בתחפושת ומחלקת מעדנים מתוקים. היא נכנסה לתפקיד קצת יותר מדי ברצינות, ושולטת בממלכת הממתקים שלה ביד ברזל.","Sebagai bentuk promosi untuk toko permen miliknya, Mandy akan tampil dengan kostum untuk membagikan sampel permen kepada pengunjung. Kadang kala dia terlalu hanyut dalam peran dan minta untuk dipanggil sebagai Ratu Permen.","Mandy è una ragazza in costume che gestisce un negozio di caramelle, dove vende dolciumi tutto il giorno. Però, tutto quello zucchero deve averle dato alla testa, perché considera il negozio come il suo regno, che governa con il pugno di ferro.","マンディはコスプレが大好きなキャンディショップの経営者だ。あま～い世界観の店内で武器を振り回しているが、すべては店の統制を保つため。","사탕 가게를 운영하며 코스튬을 입고 달콤한 사탕을 판매합니다. 하지만 자신만의 세계에 너무 빠져 마치 자신이 사탕 왕국의 여왕이라고 착각하는 듯하네요.","Mandy mengusahakan bisnes gula-gula dan memakai kostum untuk menjemput pelanggan merasa kudapan manisan. Dia terlalu menyelami watak itu dan menjalankan perniagaan itu seperti ratu memerintah sebuah kerajaan.","Mandy heeft een snoepwinkel waar ze in kostuum zoetigheden uitdeelt. Ze laat zich echter meeslepen in haar performance en regeert haar snoepkoninkrijk met ijzeren vuist.","Mandy prowadzi sklep ze słodyczami, w którym przebiera się w kostium i rozdaje słodkie przysmaki. Nieco za bardzo wczuwa się w swoją rolę i rządzi słodyczowym królestwem twardą ręką.","Mandy usa um traje digno de rainha para trabalhar em sua loja de doces. Para a surpresa de muitos, ela não tem nada de doce e governa seu reino com mão de ferro!","Мэнди управляет магазином сладостей, облачившись в наряд конфетной королевы. Иногда она немного увлекается и ведёт себя как настоящий деспот.","แมนดี้เป็นเจ้าของร้านลูกกวาดโดยที่เธอจะแต่งตัวด้วยชุดคอสตูมและออกไปแจกจ่ายขนมหวาน แต่ดูเหมือนว่าเธอจะอินกับบทไปสักหน่อยและปกครองอาณาจักรขนมหวานของเธอด้วยอำนาจและกำลัง","Mandy, sevimli kostümüyle şeker dükkanında tüm gün tatlı atıştırmalıklar satıyor. Ancak rolüne kendini o kadar kaptırmış ki hayallerindeki bu şeker krallığını yönetirken zalimleşebiliyor.","Ở cửa hàng kẹo ngọt của mình, Mandy luôn mặc bộ trang phục dễ thương và phân phát bánh kẹo cho mọi người. Cô ấy không ngần ngại sử dụng nắm đấm để giữ trật tự cho vương quốc kẹo ngọt của mình.","Менді керує Магазином солодощів, де в костюмі цукеркової королеви роздає ласощі. Вона трохи занадто захоплюється своєю роллю й править королівством залізною рукою."
"TID_BEAMER_WEAPON_DESC","Mandy shoots candy from her Candy Dispenser and while staying still she gains Focus, increasing her attack range.","تطلق ماندي الحلوى من موزع الحلوى الخاص بها وبينما تظل ثابتة تكتسب التركيز، وبذلك يزيد نطاق هجومها.","曼迪用她的糖果机发射糖果攻击敌人。站在原地时，曼迪会进入\q专注\q状态，提升糖果机的射程！","曼蒂用她的糖果機發射糖果攻擊敵人。站在原地時，曼蒂會進入「專注」狀態，提升糖果機的射程！","Mandy verschießt Bonbons aus ihrem Bonbonspender. Während sie auf der Stelle steht, wird ihr Fokus gestärkt - dadurch erhöht sich die Reichweite ihres Angriffs!","Mandy lanza caramelos con el Dispensador de caramelos. Mientras tanto, se concentra y aumenta el alcance de su ataque.","Mandy lanza caramelos con el Dispensador de caramelos. Mientras tanto, se concentra y aumenta el alcance de su ataque.","Mandy ampuu karkkia karkkiautomaatistaan. Kun hän on paikallaan, hänen keskittymisensä kasvaa, jolloin myös hyökkäyksen kantama pitenee.","Mandy utilise son distributeur de bonbons pour infliger des dégâts aux ennemis. Lorsqu'elle est immobile, elle gagne de la concentration et augmente sa portée.","מנדי יורה ממתקים ממתקן הממתקים שלה, ובזמן שהיא נמצאת ברגיעה היא משיגה פוקוס שמגדיל את טווח ההתקפה שלה.","Mandy menembakkan permen dari Dispenser Permen. Saat diam, dia akan mendapatkan Fokus dan jangkauan serangannya akan meningkat.","Mandy spara delle caramelle che danneggiano gli avversari colpiti e, rimanendo ferma, si concentra per aumentare la portata dei suoi attacchi.","キャンディディスペンサーからキャンディを発射する。動きを止めると集中力ゲージが溜まり、射程が伸びる。","사탕 뽑기 기계에서 사탕을 발사합니다. 맨디가 움직이지 않는 동안에는 집중력을 발휘해 공격 범위가 증가합니다.","Mandy menembak gula-gula daripada Dispenser Gula-gulanya dan ketika berdiri diam-diam, dia dapat berfokus dan meningkatkan jarak serangannya.","Mandy gebruikt haar snoepschieter om tegenstanders met snoep te bekogelen. Wanneer ze stilstaat, vernauwt haar focus en wordt haar aanvalsbereik vergroot.","Mandy strzela cukierkami z dozownika, a gdy nie rusza się, zyskuje koncentrację, zwiększając zasięg ataku.","Com seu porta-doces, Mandy dispara guloseimas e, quando fica parada, ela ganha foco, aumentando o alcance do ataque.","Мэнди стреляет по врагам из конфетного автомата. Стоя на месте, она фокусируется лучше, и радиус её атаки увеличивается.","แมนดี้ยิงลูกกวาดจากเครื่องจ่ายลูกกวาด ขณะที่ยืนนิ่งๆ แมนดี้จะมีโฟกัสมากขึ้นและเพิ่มระยะในการโจมตี","Mandy, şeker otomatından şeker fırlatır. Sabit durduğunda daha kolay odaklanır ve saldırı menzili artar.","Mandy bắn kẹo từ Máy bắn kẹo của mình và trong khi đứng yên, đòn tấn công của cô ta sẽ tập trung hơn và có phạm vi xa hơn.","Менді стріляє цукерками зі свого цукеркового автомата і, залишаючись на місці, фокусується, що збільшує її дальність атаки."
"TID_BEAMER_ULTI_DESC","Mandy shoots a long ray of sugar passing through enemies and environment, dealing massive damage.","تطلق ماندي شعاع سكر طويلاً يخترق الأعداء والبيئة، ويتسبب في ضرر هائل لهم.","曼迪发射一道长长的糖果射线，可以穿透多个敌人和场景物体，造成大量伤害。","曼蒂發射一道長長的糖果射線，可以穿透多個敵人和場景物體，造成大量傷害。","Mandy verschießt einen langen Zuckerstrahl, der Gegner und Objekte im Umfeld durchstößt und immensen Schaden verursacht.","Mandy dispara un rayo de azúcar de largo alcance que atraviesa a los enemigos y el entorno e inflige mucho daño.","Mandy dispara un rayo de azúcar de largo alcance que atraviesa a los enemigos y el entorno e inflige mucho daño.","Mandy ampuu pitkän sokerisäteen, joka lävistää vastustajat ja ympäristön sekä tekee massiivista tuhoa.","Mandy tire un rayon sucré qui traverse les ennemis et le décor, infligeant de lourds dégâts.","מנדי יורה קרן סוכר ארוכה שחולפת דרך אויבים וסביבה, וגורמת להם נזק עצום.","Mandy menembakkan sinar sukrosa panjang yang mampu menembus lawan dan lingkungan serta menimbulkan kerusakan dahsyat.","Mandy spara un lungo raggio di zucchero che attraversa gli ostacoli, perfora i nemici e causa danni ingenti.","敵や障害物を貫通する砂糖を光線のように発射し、大ダメージを与える。","적과 지형물을 관통하는 긴 설탕 광선을 발사해 막대한 피해를 줍니다.","Mandy menembak sinar gula panjang yang menembusi musuh dan persekitaran, melakukan kerosakan besar-besaran.","Mandy vuurt een straal suiker af die door vijanden en obstakels heen gaat en zware schade aanricht.","Mandy wystrzeliwuje długą cukrową wiązkę, która przeszywa wrogów i elementy otoczenia, zadając ogromne obrażenia.","Mandy dispara um grande raio de açúcar que atravessa inimigos e elementos do ambiente e inflige muito dano.","Мэнди стреляет дальнобойным сахарным лучом, который пронзает врагов и препятствия и наносит огромный урон.","แมนดี้ยิงเลเซอร์น้ำตาลที่ทะลุผ่านศัตรูและสิ่งแวดล้อม ซึ่งจะสร้างความเสียหายอย่างรุนแรง","Mandy, düşmanları ve çevresini yarıp geçen ve büyük hasar veren bir şeker ışını atar.","Mandy bắn ra một tia đường có tầm xa, tia này có thể xuyên qua đối thủ và chướng ngại vật, gây ra sát thương rất cao.","Менді випускає довгий цукровий промінь, який проходить крізь противників й об’єкти оточення і завдає величезного ушкодження."
"TID_RECRUIT_ROAD_INFO_TXT4","Unlock <ce297ff>Epic</c>, <cff9a9a>Mythic</c>, <cfdf01f>Legendary</c> & <c7aff6b>Ultra</c> Brawlers on Brawler Blast!","افتح أبطالاً من الفئات: <ce297ff>استثنائي</c>، <cff9a9a>خرافي</c>، <cfdf01f>أسطوري</c>، <c7aff6b>فائق</c> من اقتناص الأبطال!","通过英雄射击场解锁<ce297ff>史诗</c>、<cff9a9a>神话</c>、<cfdf01f>传奇</c>和<c7aff6b>超凡</c>英雄！","透過英雄射擊場解鎖<ce297ff>史詩</c>、<cff9a9a>神話</c>、<cfdf01f>傳奇</c>和<c7aff6b>超凡</c>英雄！","Schalte <ce297ff>epische</c>, <cff9a9a>mythische</c>, <cfdf01f>legendäre</c> und <c7aff6b>Ultra-Brawler</c> im Brawlerblast frei!","¡Desbloquea brawlers <ce297ff>épicos</c>, <cff9a9a>míticos</c>, <cfdf01f>legendarios</c> y <c7aff6b>ultra</c> en Tiro al brawler!","¡Desbloquea brawlers <ce297ff>épicos</c>, <cff9a9a>míticos</c>, <cfdf01f>legendarios</c> y <c7aff6b>ultra</c> en tiro al brawler!","Avaa <ce297ff>eeppisiä</c>, <cff9a9a>myyttisiä</c>, <cfdf01f>legendaarisia</c> ja <c7aff6b>ultratason</c> rämäpäitä rämäpääryöpystä!","Débloquez des brawlers <ce297ff>épiques</c>, <cff9a9a>mythiques</c>, <cfdf01f>légendaires</c> et <c7aff6b>ultra</c> au Tir aux brawlers !","פתחו נעילה של בראולרים <ce297ff>אדירים</c>, <cff9a9a>מדהימים</c>, <cfdf01f>אגדיים</c> ו<c7aff6b>אולטרה</c> ב'פצצת בראולרים'!","Buka Jagoan <ce297ff>Epik</c>, <cff9a9a>Mistis</c>, <cfdf01f>Legendaris,</c> dan <c7aff6b>Ultra</c> di Tembak Jagoan!","Sblocca personaggi <ce297ff>epici</c>, <cff9a9a>mitici</c>, <cfdf01f>leggendari</c> e <c7aff6b>ultra</c> con Brawler Bang Bang!","キャラクターブラストで<ce297ff>ハイパーレア</c>、<cff9a9a>ウルトラレア</c>、<cfdf01f>レジェンドレア</c>、<c7aff6b>ウルトラレジェンドレア</c>のキャラクターをアンロックしよう！","브롤러 블라스트에서 <ce297ff>영웅</c>, <cff9a9a>신화</c>, <cfdf01f>전설</c> 및 <c7aff6b>울트라</c> 브롤러를 잠금 해제하세요!","Buka Brawler <ce297ff>Epik</c>, <cff9a9a>Mitos</c>, <cfdf01f>Legenda</c> & <c7aff6b>Ultra</c> dari Padang Tembak Brawler!","Ontgrendel <ce297ff>epische</c>, <cff9a9a>mythische</c>, <cfdf01f>legendarische</c> en <c7aff6b>ultra</c>-knokkers in Knokkersknal!","Odblokuj <ce297ff>epickich</c>, <cff9a9a>mitycznych</c>, <cfdf01f>legendarnych</c> i <c7aff6b>ultra</c> Zadymiarzy w Zadymiarskim celu!","Libere Brawlers <ce297ff>épicos</c>, <cff9a9a>míticos</c>, <cfdf01f>lendários</c> e <c7aff6b>ultra</c> no Bala ao Brawler!","Разблокируй <ce297ff>эпических</c>, <cff9a9a>мифических</c>, <cfdf01f>легендарных</c> и <c7aff6b>ультрабойцов</c> в «Тире Старр»!","ปลดล็อคบรอว์เลอร์<ce297ff>อีปิค</c> <cff9a9a>มีธิค</c> <cfdf01f>เลเจนดารี</c> และ<c7aff6b>อัลตร้า</c>ในรัวรับบรอว์!","Savaşçı patlamasında <ce297ff>destansı</c>, <cff9a9a>gizemli</c>, <cfdf01f>efsanevi</c> ve <c7aff6b>ultra</c> savaşçılar açabilirsin!","Mở khóa các Chiến binh Brawl <ce297ff>Quý hiếm</c>, <cff9a9a>Thần thoại</c>, <cfdf01f>Huyền thoại</c> và <c7aff6b>Tối thượng</c> từ Vụ nổ Chiến binh Brawl!","Розблоковуй <ce297ff>епічних</c>, <cff9a9a>міфічних</c>, <cfdf01f>легендарних</c> і <c7aff6b>ультрарідкісних</c> бійців у Бумі бійців!"
"TID_HERO_INFO_LOCKED_INFO_AVAILABLE_ON_STARR_RANGE","Available from Brawler Blast!","متوفر من خلال اقتناص الأبطال!","可通过英雄射击场获取！","可透過英雄射擊場獲取！","Im Brawlerblast verfügbar!","¡Disponible en Tiro al brawler!","Disponible en tiro al brawler","Saatavilla rämäpääryöpystä!","Disponible au Tir aux brawlers !","זמין מ'פצצת בראולרים'!","Tersedia di Tembak Jagoan!","Disponibile in Brawler Bang Bang!","キャラクターブラストから入手可能！","브롤러 블라스트에서 이용 가능!","Boleh didapati dari Padang Tembak Brawler!","Verkrijgbaar in Knokkersknal!","Do zdobycia w Zadymiarskim celu!","Disponível no Bala ao Brawler!","Можно получить в «Тире Старр»","มีในรัวรับบรอว์!","Savaşçı patlamasından alınabilir!","Có tại Vụ nổ Chiến binh Brawl!","Доступно в Бумі бійців!"
"TID_UNLOCK_BRAWLERS_INFO_TITLE","UNLOCKING BRAWLERS","فتح الأبطال","解锁英雄","解鎖英雄","BRAWLERFREISCHALTUNG","DESBLOQUEO DE BRAWLERS","DESBLOQUEO DE BRAWLERS","RÄMÄPÄIDEN AVAAMINEN","DÉBLOQUER DES BRAWLERS","פתיחת בראולרים","MEMBUKA JAGOAN","LO SBLOCCO DEI BRAWLER","キャラクターをアンロック","브롤러 잠금 해제","SEDANG MEMBUKA BRAWLER","KNOKKERS ONTGRENDELEN","ODBLOKOWYWANIE ZADYMIARZY","LIBERAR BRAWLERS","РАЗБЛОКИРОВКА БОЙЦОВ","ปลดล็อคบรอว์เลอร์","SAVAŞÇI AÇMA","MỞ KHÓA CHIẾN BINH BRAWL","РОЗБЛОКУВАННЯ БІЙЦІВ"
"TID_SPLITTER_SHORT_DESC","Mark targets then deal burst damage!","حدد الأهداف ثم ألحق ضررًا انفجاريًا!","标记目标，造成爆发伤害！","標記目標，爆發大量傷害！","Markiere Ziele und verursache Burst-Schaden!","Marca a los enemigos e inflige ráfagas de daño.","Marca a los objetivos e inflígeles daño explosivo.","Merkkaa kohteet ja tee tehotuhoa!","Marque ses cibles pour infliger des dégâts instantanés !","סמנו מטרות ואז הביאו לנזק התפרצות!","Tandai target dan berikan lonjakan kerusakan seketika!","Marchia i nemici e puniscili con danni a raffica!","敵を狙って大ダメージ！","목표물에 표식을 남기고 폭발적인 피해를 입힙니다!","Tandakan sasaran dan lancarkan serangan letusan!","Markeer doelwitten en deel daarna veel schade uit in korte tijd!","Oznaczaj cele i zadawaj wybuchowe obrażenia!","Marque os alvos e... fogo neles!","Помечает врагов и наносит им большой урон.","ทำเครื่องหมายแล้วสร้างความเสียหายรุนแรง!","Hedefleri işaretler ve seri hasar verir.","Đánh dấu mục tiêu rồi gây ra sát thương dồn!","Позначай цілі, а потім завдавай вибухового ушкодження!"
"TID_SPEC_ABI_PUPPETEER_2_DESC","Hexed enemies gain <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> movement speed while mind controlled.","يكتسب الأعداء المتأثرون بالتعويذة سرعة حركة بنسبة <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> خلال السيطرة على عقولهم.","被夺心秘法操控的敌人移动速度提升<c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>。","被鬼迷心竅操控的敵人移動速度提升<c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>。","Verzauberte Gegner erhalten während der Gedankenkontrolle <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> Bewegungstempo.","Los enemigos manipulados ganan un <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> de velocidad de movimiento mientras están bajo los efectos del control mental.","Los enemigos manipulados ganan un <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> de velocidad de movimiento mientras están bajo los efectos del control mental.","Hallinnan alaisina olevat lumotut vastustajat saavat <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> lisää liikkumisnopeutta.","La vitesse de déplacement des ennemis touchés par le parasite augmente de <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c>.","אויבים תחת כישוף צוברים <c00cc00>%<!card.statuseffect.baseSpeedIncreasePercent></c> מהירות תנועה בזמן שמוחם תחת שליטה.","Kecepatan gerak lawan yang terkena Guna-Guna akan meningkat <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>.","La velocità dei nemici manipolati con la super aumenta del <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>.","必殺技が命中した敵は、スピードが<c00cc00><!card.statuseffect.baseSpeedIncreasePercent>％</c>上昇する。","꼭두각시로 조종당하는 적의 이동 속도가 <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> 증가합니다.","Musuh disihir mendapat <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> kelajuan pergerakan semasa dikawal minda.","Vervloekte vijanden bewegen <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> sneller onder Willows controle.","Szybkość ruchu wrogów, na których rzucono zły urok, zwiększa się o <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>, gdy ich umysł podlega kontroli.","Os inimigos manipulados andam <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> mais rápido durante o controle mental.","Скорость передвижения врагов увеличивается на <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c>, пока их разум находится под контролем.","ศัตรูที่ถูกร่ายคาถาจะได้รับความเร็วในการเคลื่อนที่มากขึ้น <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> เมื่อถูกควบคุมจิตใจ","Zihni ele geçirilen düşmanların hızı, etki devam ettiği sürece <c00cc00>%<!card.statuseffect.baseSpeedIncreasePercent></c> artar.","Tốc độ di chuyển của kẻ địch bị trúng đòn ma thuật tăng <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> trong khi bị điều khiển tâm trí.","Прокляті противники рухаються на <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> швидше, поки Віллоу контролює їхній розум."
"TID_SPEC_ABI_FISHTANK_1_DESC","When Balloon Blast is charged over <c00cc00><!card.value1>%</c>, Hank gains <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> extra movement speed.","عندما يُشحن انفجار البالون لأكثر من <c00cc00><!card.value1>%</c>، يكتسب هانك <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> سرعة حركة إضافية.","充气爆破蓄力达到<c00cc00><!card.value1>%</c>后，汉克的移动速度提升<c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>。","氣球爆破蓄力達到<c00cc00><!card.value1>%</c>後，漢克的移動速度提升<c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>。","Wenn der Knallon zu mindestens <c00cc00><!card.value1> %</c> aufgeladen ist, erhält Hank <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> zusätzliches Bewegungstempo.","Cuando Globo explosivo está cargado un <c00cc00><!card.value1> %</c>, Hank consigue un <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> de velocidad de movimiento extra.","Cuando el Globo explosivo está cargado un <c00cc00><!card.value1> %</c>, Hank consigue un <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> de velocidad de movimiento extra.","Kun ilmapallopamauksen lataus on yli <c00cc00><!card.value1> %</c>, Hank saa <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> lisää liikkumisnopeutta.","Quand la Bombe à eau est chargée à plus de <c00cc00><!card.value1> %</c>, Hank gagne <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c> de vitesse de déplacement supplémentaire.","כשהבלון המתפוצץ נטען בלמעלה מ-<c00cc00>%<!card.value1></c>, מהירות התנועה של האנק מואצת ב-<c00cc00>%<!card.statuseffect.baseSpeedIncreasePercent></c>.","Saat bilah Ledakan Balon terisi di atas <c00cc00><!card.value1>%</c>, Hank bergerak <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> lebih cepat.","Se carichi la \qBomba d'acqua\q oltre il <c00cc00><!card.value1>%</c>, Hank si muove più velocemente del <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>.","通常攻撃を<c00cc00><!card.value1>％</c>以上チャージすると、移動速度が<c00cc00><!card.statuseffect.baseSpeedIncreasePercent>％</c>上昇する。","펑펑 풍선이 <c00cc00><!card.value1>%</c> 이상 충전되면 행크가 <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>의 추가 이동 속도를 얻습니다.","Apabila Letupan Belon dicas melebihi <c00cc00><!card.value1>%</c>, Hank mendapat <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> kelajuan tambahan.","Wanneer zijn Ballonnenknal meer dan <c00cc00><!card.value1>%</c> is opgeladen, beweegt Hank <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> sneller.","Po naładowaniu balonowego wybuchu do ponad <c00cc00><!card.value1>%</c> Hank zyskuje <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> przyspieszenia.","Quando o carregamento do Balão Explosivo ultrapassa <c00cc00><!card.value1>%</c>, Hank anda <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c> mais rápido.","Когда заряд «Шарового залпа» превышает <c00cc00><!card.value1> %</c>, скорость Хэнка увеличивается на <c00cc00><!card.statuseffect.baseSpeedIncreasePercent> %</c>.","เมื่อระเบิดบอลลูนชาร์จมากกว่า <c00cc00><!card.value1>%</c> แฮงค์จะได้รับความเร็วในการเคลื่อนที่เพิ่มขึ้น <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>","Balon patlaması <c00cc00>%<!card.value1></c> ve üzeri dolduğunda Hank <c00cc00>%<!card.statuseffect.baseSpeedIncreasePercent></c> ekstra hareket hızı kazanır.","Khi chiêu thức Bong bóng phát nổ được sạc hơn <c00cc00><!card.value1>%</c>, tốc độ di chuyển của Hank sẽ tăng <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>.","Коли заряд повітряного вибуху перевищує <c00cc00><!card.value1>%</c>, швидкість Генка збільшується на <c00cc00><!card.statuseffect.baseSpeedIncreasePercent>%</c>."
"TID_ACCESSORY_REVIVER_GADGET_1_DESC","The next Snack Attack only heals allies but doubles the amount.","تعالج الهجمة الغذائية الحلفاء فحسب، ولكن بضعف الصحة هذه المرة.","道格的下一次零食旋风只会治疗友军，但治疗效果翻倍。","道格的下一次小吃出擊只會治療友軍，但治療效果翻倍。","Der nächste Snackangriff kann nur Heilung an Verbündeten verursachen, aber dafür doppelt so viel.","El próximo ataque principal solo cura a los aliados y duplica la curación.","El próximo Ataque comilón solo cura a los aliados, pero se duplica la curación.","Seuraava hodarihyökkäys ei vahingoita vastustajia mutta parantaa liittolaisia tuplasti.","La prochaine fois que Doug utilise Snack d'attaque, il peut uniquement soigner les alliés, mais il rend le double de points de vie.","'מתקפת הנשנוש' הבאה רק תרפא בעלי ברית, אך תעשה זו במידה כפולה מאשר מתקפה רגילה.","Serangan Nyam-Nyam-Nyam berikutnya hanya akan menyembuhkan rekan, namun dengan jumlah ganda.","L'attacco di Croce e delizia successivo all'attivazione del gadget cura solo gli alleati, ma ripristina il doppio della salute.","次の通常攻撃が味方を回復させるだけの効果になるが、回復量が2倍になる。","다음 일반 공격이 아군을 치유하기만 하는 대신 치유량이 두 배가 됩니다.","Serangan Kudapan seterusnya hanya menyembuhkan sekutu, tetapi sebanyak dua kali ganda.","Dougs volgende Snackaanval kan alleen bondgenoten genezen, maar is dubbel zo effectief.","Następny przekąskowy atak tylko leczy sojuszników, ale o dwa razy więcej punktów.","O próximo Ataque de Fome só cura aliados, sem causar dano aos inimigos, mas cura o dobro.","Следующая атака «Быстрый перекус» не навредит врагам, зато восстановит вдвое больше здоровья союзникам.","การโจมตีครั้งต่อไปของของว่างแลกใจจะทำได้เพียงเยียวยาพันธมิตรแต่จะเพิ่มประสิทธิภาพเป็นสองเท่า","Bir sonraki sosis saldırısı yalnızca dostları iyileştirir ama iki kat etkili olur.","Đòn tấn công Cơn bão đồ ăn vặt tiếp theo chỉ hồi máu cho các đồng minh, nhưng số lượng máu được hồi nhiều gấp đôi.","Наступний Стрімкий перекус зцілює лише союзників, але у подвійному розмірі."
